hs_code,description,chapter,section_id,region_id,parent_id
01,LIVE ANIMALS,1,1,1,
0101,"LIVE HORSES, ASSES, MULES AND HINNIES",1,1,1,1
0101.2,Horses,1,1,1,2
0101.21.00,Purebred breeding animals,1,1,1,3
0101.29.00,Other,1,1,1,3
0101.30.00,Asses,1,1,1,2
0101.90.00,Other,1,1,1,2
0102,LIVE BOVINE ANIMALS,1,1,1,1
0102.2,Cattle,1,1,1,8
0102.21.00,Purebred breeding animals,1,1,1,9
0102.29.00,Other,1,1,1,9
0102.3,Buffalo,1,1,1,8
0102.31.00,Purebred breeding animals,1,1,1,12
0102.39.00,Other,1,1,1,12
0102.90.00,Other,1,1,1,9